Designator,Mid X,Mid Y,Rotation,Layer
R2502,232.3661,-1.65,180.0,top
R2503,227.4661,-3.4,90.0,top
R2601,250.3794,-3.5,90.0,top
R2602,245.6994,-1.65,180.0,top
R2603,240.7994,-3.4,90.0,top
R2701,263.7127,-3.5,90.0,top
R2702,259.0327,-1.65,180.0,top
R2703,254.132699,-3.4,90.0,top
R2901,277.046,-3.5,90.0,top
R2902,272.366,-1.65,180.0,top
R2903,267.466,-3.4,90.0,top
R3,250.549775,-12.180226,180.0,top
R3001,290.3793,-3.5,90.0,top
R3002,285.6993,-1.65,180.0,top
R3003,280.7993,-3.4,90.0,top
R301,10.38,-3.5,90.0,top
R302,5.7,-1.65,180.0,top
R303,6.15,-6.32,90.0,top
R3101,303.7126,-3.5,90.0,top
R3102,299.0326,-1.65,180.0,top
R3103,294.1326,-3.4,90.0,top
R3201,317.0459,-3.5,90.0,top
R3202,312.3659,-1.65,180.0,top
R3203,307.465899,-3.4,90.0,top
R3401,330.379199,-3.5,90.0,top
R3402,325.699199,-1.65,180.0,top
R3403,320.799199,-3.4,90.0,top
R3501,343.712499,-3.5,90.0,top
R3502,339.032499,-1.65,180.0,top
R3503,334.132499,-3.4,90.0,top
R3601,357.045799,-3.5,90.0,top
R3602,352.365799,-1.65,180.0,top
R3603,347.465799,-3.4,90.0,top
R3701,370.379099,-3.5,90.0,top
R3702,365.699099,-1.65,180.0,top
R3703,360.799098,-3.4,90.0,top
R4,370.47,-18.86,270.0,top
R4301,383.7124,-3.5,90.0,top
R4302,379.0324,-1.65,180.0,top
R4303,374.1324,-3.4,90.0,top
R4401,387.92,-7.84,90.0,top
R4402,391.93,-2.16,90.0,top
R4403,386.97,-2.9,0.0,top
R4501,399.76,-7.04,270.0,top
R4502,399.43,-2.13,90.0,top
R4503,400.799,-3.4,90.0,top
R501,23.7133,-3.5,90.0,top
R502,19.0333,-1.65,180.0,top
R503,14.1333,-3.4,90.0,top
R6,200.58,-22.76,135.0,top
R601,37.0466,-3.5,90.0,top
R602,32.3666,-1.65,180.0,top
R603,27.4666,-3.4,90.0,top
R7,214.68,-15.08246,270.0,top
R701,50.3799,-3.5,90.0,top
R702,45.6999,-1.65,180.0,top
R703,40.799899,-3.4,90.0,top
R8,50.014,-18.87,90.0,top
R901,63.7132,-3.5,90.0,top
R902,59.0332,-1.65,180.0,top
R903,54.1332,-3.4,90.0,top
SW1,17.92,-21.135,0.0,top
SW2,362.47,-19.905,0.0,top
U1,200.116045,-15.619405,225.0,top
U1001,69.6665,-2.4,0.0,top
U1101,82.9998,-2.4,0.0,top
U1201,96.3331,-2.4,0.0,top
U1301,130.5464,-10.23,270.0,top
U1401,109.6664,-2.4,0.0,top
U1501,122.9997,-2.4,0.0,top
U1601,136.333,-2.4,0.0,top
U1701,149.6663,-2.4,0.0,top
U1801,178.56,-10.23,270.0,top
U1901,162.999599,-2.4,0.0,top
U2,270.76,-19.33,180.0,top
U2001,176.332899,-2.4,0.0,top
U2101,189.666199,-2.4,0.0,top
U2201,202.999499,-2.4,0.0,top
U2301,230.4608,-10.690001,270.0,top
U2401,216.3328,-2.4,0.0,top
U2501,229.6661,-2.4,0.0,top
U2601,242.9994,-2.4,0.0,top
U2701,256.3327,-2.4,0.0,top
U2801,290.546,-10.23,270.0,top
U2901,269.666,-2.4,0.0,top
U3,211.07,-17.4342,270.0,top
U3001,282.9993,-2.4,0.0,top
U301,3.0,-2.4,0.0,top
U3101,296.3326,-2.4,0.0,top
U3201,309.6659,-2.4,0.0,top
U3301,343.879199,-10.23,270.0,top
U3401,322.999199,-2.4,0.0,top
U3501,336.332499,-2.4,0.0,top
U3601,349.665799,-2.4,0.0,top
U3701,362.999099,-2.4,0.0,top
U3801,381.87,-11.6489,180.0,top
U4,249.248073,-14.027275,270.0,top
U401,23.88,-10.23,270.0,top
U4301,376.3324,-2.4,0.0,top
U4401,389.665699,-2.4,0.0,top
U4501,402.998999,-2.4,0.0,top
U5,164.420063,-20.8178,180.0,top
U501,16.3333,-2.4,0.0,top
U601,29.6666,-2.4,0.0,top
U701,42.9999,-2.4,0.0,top
U801,77.2132,-10.23,270.0,top
U901,56.3332,-2.4,0.0,top
Y1,187.1925,-14.329999,270.0,top
